WSppCode,Genus,Species,Family,CommonName,USDACode,ZSppCode,ClonalityButler,USDACuttings,USDATuber,USDABareRoot,UDSASprigs,ClonalityOther,ClonalityOtherSource,ClonalityCitation,ClonalCongener,ClonalGrowthOrgans,ClonalityCat,ClonalityCatFinal,ClonalityNotes,ClonalityDone?,USDAGroup,USDAHabit,USDADuration,USDANativeStatus,USDANotes,Kew1000seeds_g,PollMode1,PollMode2,Self-Compat?,PollModeSource,PollModeCongener,PollModeCite,PollModeNotes,PollDone?,DispMode1,DispMode2,DustLikeWindDisp?,DispModeSource,DispMode1Congener,DispModeCite,DispersalDone?,DispersalNotes,FlowerColor1,FlowerColor2,FlowerColor3,FlowerColorSource,FlowerColorNotes,
CLEVIR,Clematis,virginiana,Ranunculaceae,devil's darning needles,CLVI5,,,,,,,1,Georgia DNR,http://georgiawildlife.com/sites/default/files/uploads/wildlife/nongame/pdf/accounts/plants/clematis_socialis.pdf,C. socialis,,PerClonGuer,ClonalGuer,,1,Dicot,Vine,Perennial,N,,3,Bee,Fly,0,,,,,1,Wind,,0,Kew,,"Young and Young, 1992",1,,,,,,,
CORALT,Cornus,alternifolia,Cornaceae,alternateleaf dogwood,COAL2,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/trees/plants/al_dogwood.htm,,,PerNoClon,NonClonal,,1,Dicot,Shrub,Perennial,N,USDAHabit is also Tree,55.64,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/trees/plants/al_dogwood.htm,Also butterflies,1,MammalBird,,0,Kew,,"Young and Young, 1992",1,Fruit,,,,,,
CORRUG,Cornus,rugosa,Cornaceae,roundleaf dogwood,CORU,,,,,,,1,Minnesota Wildflowers,https://www.minnesotawildflowers.info/tree-shrub/round-leaved-dogwood,,,PerClonPhl,ClonalPhl,,1,Dicot,Shrub,Perennial,N,USDAHabit is also Tree,42.15,Bee,Fly,0,Pollinators of native plants,,Holm,Also beetles,1,MammalBird,,0,Kew,,"Young and Young, 1992",1,,,,,,,
CORSEM,Corydalis,sempervirens,Fumariaceae,rock harlequin,COSE5,,,,,,,0,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/palecorydalis.html,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,APB,N,,,Wind,Ant,1,US Forest service,,http://www.fs.fed.us/database/feis/plants/forb/corsem/all.html#PollinationAndBreedingSystem,,1,Unassisted,Wind,0,USDA Forest Service,,http://www.fs.fed.us/database/feis/plants/forb/corsem/all.html#SeedDispersal,1,Also Dispersed by ants,pink,,,Voss&Reznicek2011,,
CRYCAN,Cryptotaenia,canadensis,Apiaceae,canadian honewort,CRCA9,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/woodland/plants/honewort.htm,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,2.1,Bee,Fly,1,Evolution Vol. 48 No. 6,,"Williams, 1994",,1,Unassisted,,0,"Evolution Vol 48, No 6",Cryptotaenia spp.,"Williams, 1994",1,,white,,,Chadde2013,,
CYPSPP,Cyperus,sp.,Cyperaceae,flatsedge,CYPER,,,,,,,,,,,,,,Do not need to do because specific species are listed.,1,Monocot,,,NI,,,,,0,,,,Do not need to do because specific species are listed.,1,,,0,,,,1,Do not need to do because specific spsecies are listed.,,,,,,
CYPSPP,Cypripedium,pubescens,Orchidaceae,greater yellow lady's slipper,CYPAP3,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/woodland/plants/yl_ladyslipper.htm,,,PerClonPhl,ClonalPhl,,1,Monocot,Forb_herb,Perennial,N,,,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/yl_ladyslipper.htm,Beetles,1,Wind,,1,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/yl_ladyslipper.htm,1,,,,,Chadde2013,"lip pouch yellow or white; pouch yellow, sometimes brown- or purple-dotted; sepals and petals yellow to brown-green; lateral petals, green with red-brown streaks",
CYSBUL,Cystopteris,bulbifera, Dryopteridaceae,bulblet bladderfern,CYBU3,,,,,,,1,Flora of North America,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200003866,,Rhizome,PerClonPhl,ClonalPhl,,1,Fern,Forb_herb,Perennial,N,,,Wind,Water,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/bulblet_fern.htm,Executive decision: For all ferns the dispersal mode is primary: wind and secondary: water,1,Wind,Water,1,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/bulblet_fern.htm,1,Executive decision: For all ferns the pollination mode is primary: wind and secondary: water,,,,,,
CYSFRA,Cystopteris,fragilis, Dryopteridaceae,brittle bladderfern ,CYFR2,,,,,,,1,North Carolina State university,https://plants.ces.ncsu.edu/plants/all/cystopteris-fragilis/,,Rhizome,PerClonPhl,ClonalPhl,,1,Fern,Forb_herb,Perennial,N,,,Wind,Water,0,Illinois Wildflowers,C. bulbifera,http://www.illinoiswildflowers.info/grasses/plants/bulblet_fern.htm,Executive decision: For all ferns the dispersal mode is primary: wind and secondary: water,1,Wind,Water,1,Illinois Wildflowers,C. bulbifera,http://www.illinoiswildflowers.info/grasses/plants/bulblet_fern.htm,1,Executive decision: For all ferns the pollination mode is primary: wind and secondary: water,,,,,,
DANSPI,Danthonia,spicata,Poaceae,poverty oatgrass,DASP2,,,,,,,1,US Forest Service,http://www.fs.fed.us/database/feis/plants/graminoid/danspi/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,,,PerClonPhl,ClonalPhl,,1,Monocot,Graminoid,Perennial,N,,0.8,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/pov_oatgrass.htm,,1,Adhesive,,0,Kew,D. racemosa,McIntyre et al. 1995,1,,,,,,,
DESGLU,Desmodium,glutinosum,Fabaceae,pointedleaf ticktrefoil,DEGL5,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/woodland/plants/pl_tktrefoil.html,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,17.28,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/pl_tktrefoil.html,,1,Adhesive,Unassisted,0,Kew,Desmodium incanum,"Mori and Brown, 1998",1,,,,,Chadde2013,"white to purple, or violet",
DICLAT,Dichanthelium,latifolium,Poaceae,broadleaf rosette grass,DILA8,,,,,,,1,Iowa State University,http://www.eeob.iastate.edu/research/IowaGrasses/speciespages/DichaLatif/DichaLatif.html,,Rhizome,PerClonPhl,ClonalPhl,,1,Monocot,Graminoid,Annual,N,,,Wind,,0,Illinois Wildflowers,D. acuminatum,http://www.illinoiswildflowers.info/grasses/plants/woolly_panic.htm,,1,Unassisted,,0,Journal of Ecology Vol. 92,Dichanthelium commutatum,Kirkman et al. 2004,1,,,,,,,
DIELON,Diervilla,lonicera, Caprifoliaceae,northern bush honeysuckle,DILO,,,,,,,1,US Forest service,ttp://www.fs.fed.us/database/feis/plants/shrub/dielon/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,,Rhizome,PerClonGuer,ClonalGuer,,1,Dicot,Shrub,Perennial,N,,,Bee,,0,US Forest servicve,,http://www.fs.fed.us/database/feis/plants/shrub/dielon/all.html,,1,Unassisted,,0,Friends of Eloise Butler,,http://www.friendsofthewildflowergarden.org/pages/plants/bushhoneysuckle.html,1,,,,,,,
DIOVIL,Dioscorea,villosa,Diocoreaceae,wild yam,DIVI4,,,,,,,1,Flora of North America,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242101571,,Rhizomes,PerClonGuer,ClonalGuer,,1,Monocot,Forb_herb,Perennial,N,USDAHabit is also Vine,10.7,Fly,,0,University of Wisconsin System,,http://bioweb.uwlax.edu/bio203/2011/eide_russ/interactions.htm,,1,Wind,,0,Kew,D. triphylla,"Ridley, 1930",1,Wings,,,,Chadde2013,white to greenish-yellow,
DRYMAR,Dryopteris,marginalis,Dryopteridaceae,marginal woodfern,DRMA4,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/grasses/plants/mshield_fern.htm,,Rhizomes,PerClonPhl,ClonalPhl,,1,Fern,Forb_herb,Perennial,N,,,Wind,Water,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/mshield_fern.htm,Executive decision: For all ferns the dispersal mode is primary: wind and secondary: water,1,Wind,Water,1,Illinois wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/mshield_fern.htm,1,Executive decision: For all ferns the pollination mode is primary: wind and secondary: water,,,,,,
ELYHYS,Elymus,hystrix,Poaceae,eastern bottlebrush grass,ELHY,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/grasses/plants/bottlebrush.htm,,,PerNoClon,NonClonal,,1,Monocot,Graminoid,Perennial,N,,,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/bottlebrush.htm,,1,Wind,,0,Kew,E. condensatus,"Keeley, 1991",1,,,,,,,
ELYVIL,Elymus,villosus,Poaceae,hairy wildrye,ELVI,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/grasses/plants/silky_rye.htm,,,PerNoClon,NonClonal,,1,Monocot,Graminoid,Perennial,N,,3.45,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/silky_rye.htm,,1,Wind,,0,Kew,E. condensatus,"Keeley, 1991",1,,,,,,,
EREHIE,Erechtites,hieraciifolia,Asteraceae,American burnweed,ERHI12,,,,,,,0,,,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,N,,0.36,,,0,,,,Need confirmation,0,Wind,,0,Kew,,Foster et al. 1986,1,,white,,,Voss&Reznicek2011,,
EUOEUR,Euonymus,europaeus,Celasteraceae,European spindletree,EUEU7,,,,,,,0,Missouri Botanical Garden,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279118&isprofile=0&,,,PerNoClon,NonClonal,,1,Dicot,Shrub,Perennial,I,USDAHabit is also Tree,39,Fly,Bee,0,Protoplasma,Euonymus spp,"Konarska, 2015",,1,MammalBird,,0,Kew,,"Snow and Snow, 1988",1,,,,,,,
EUOSPP,Euonymus,spp.,Celasteraceae,spindletree,EUONY2,,,,,,,,,,,,,,Do not need to search because specific species are listed.,1,Dicot,,,NI,,,,,0,,,,Do not need to do because specific species is listed.,1,,,0,,,,1,Do not need to do because specific species are listed.,,,,,,
EUPRUG,Eupatorium,rugosum,Asteraceae,white snakeroot,AGALA,,,,,,,1,Ohio State University,https://www.oardc.ohio-state.edu/weedguide/singlerecord.asp?id=1040,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,0.2,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/wh_snakeroot.htm,,1,Wind,,0,Kew,,"Matlack, 1987",1,,white,,,Gleason&Conquist1991,,
EUTPUR,Eupatorium,purpureum,Asteraceae,sweetscented joe pye weed,EUPU21,,,,,,,0,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/sweetjoepyeweed.html,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,0.45,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/sw_joepye.htm,,1,Wind,,0,Kew,Eupatorium atrocordatum,"Vazquez and Givnish, 1998",1,,,,,Gleason&Conquist1991,very pale pinkish or purplish,
FESSPP,Festuca,spp.,Poaceae,fescue,FESTU,,,,,,,1,Clonal databse,,38 species listed,Rhizomes,PerClonPhl,ClonalPhl,,1,Monocot,,,NI,,0.45,Wind,,0,US Forest service,"F. thurberi, F. arizonica",http://www.fs.fed.us/database/feis/plants/graminoid/festhu/all.html,,1,Wind,,0,US forest service,"Festuca altaica, F. campestris, F. hallii",http://www.fs.fed.us/database/feis/plants/graminoid/fesspp/all.html#BotanicalAndEcologicalCharacteristics,1,,,,,,,
CALCAN,Calamagrostis,canadensis,Poaceae,bluejoint,CACA4,,1,0,0,0,1,1,Journal of Ecology Vol. 81 No 4,"MacdDonald and Lieffers, 1993",,Rhizome,PerClonGuer,ClonalGuer,,1,Monocot,Graminoid,Perennial,N,,0.3,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/bluejoint.html,,1,Unassisted,,0,Field Knowledge,,"AA, Field knowledge",1,It is a heavy seed with  no wind structure,,,,,,
CASCOC,Castilleja,coccinea,Scrophulariaceae,scarlet Indian paintbrush,CACO17,CASCOC,0,0,0,0,0,0,USDA,http://plants.usda.gov/java/charProfile?symbol=CACO17&format=print,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,N,,0.04,Bird,,0,primary paper,,Duffield 1972,Ruby-throated Hummingbird,1,Wind,,1,Field Experience,,"JM, Field Experience",1,,white,,,Voss&Reznicek2011,,
CARCRA,Carex,crawei,Cyperaceae,Crawe's sedge,CACR3,CARCRA,,,,,,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,Rhizomes,PerClonGuer,ClonalGuer,"?long-creeping rhizomes, forming loose colonies of tufts? -Y",1,Monocot,Graminoid,Perennial,N,,1.02,Wind,,0,New England Plant Conservation Program,,Dunlop 2004,,1,Unassisted,Water,0,Universty of Illinois,,"Molano-Flores, 2000",1,,,,,,,
CALDIG,Callirhoe,digitata,Malvaceae,winecup,CADI2,CALDIG,,,,,,0,Flora of MO,"Yatskievych 1999, 2006, 2013",,,PerNoClon,NonClonal,generic description: roots usually thickened and tuberous,1,Dicot,Forb_herb,Perennial,N,,,Bee,,0,primary paper,Callirhoe spp,Dorr 1994,,1,Unassisted,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/fringed_mallow.htm,1,,,,,Gleason&Conquist1991,red to purple with a basal white spot,
CARGRA,Carex,granularis,Cyperaceae,limestone meadow sedge,CAGR3,CARGRA,,0,0,1,1,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,Rhizomes,PerClonPhl,ClonalPhl,"pls with rhizomes poorly developed or absent, forming dense tufts or clumps -Y",1,Monocot,Graminoid,Perennial,N,,0.58,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/meadow_sedge.htm,,1,Ant,,0,Kew,Carex pilulifera; C. vesicularis,Bouman et al. 2000,1,,,,,,,
CARHIR,Carex,hirsutella,Cyperaceae,fuzzy wuzzy sedge,CAHI6,CARHIR,,,,,,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,Rhizomes,PerClonPhl,ClonalPhl,"Section description: Rhizomes absent or poorly developed, forming dense clumps.",1,Monocot,Graminoid,Perennial,N,,1.26,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/hl_sedge.htm,,1,Ant,,0,Kew,Carex pilulifera; C. vesicularis,Bouman et al. 2000,1,,,,,,,
CALMAC,Calystegia,macounii,Convolvulaceae,Macoun's false bindweed,CAMA23,CALMAC,,,,,,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,Rhizomes,PerClonPhl,ClonalPhl,Generic description: ?unusually deep-set rhizomes and root systems.?,1,Dicot,Vine,Perennial,N,,,Bee,Fly,0,primary paper,Calystegia sepium,Ushimaru 1999,,1,Unassisted,,0,Kew,Calystegia macrostegia,"Keeley, 1991",1,,,,,,,
CARMEA,Carex,meadii,Cyperaceae,Mead's sedge,CAME2,CARMEA,,,,,,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,Rhizomes,PerClonGuer,ClonalGuer,"Section description: Long-creeping rhizomes, forming colonies of tufts.",1,Monocot,Graminoid,Perennial,N,,2.87,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/mead_sedge.htm,,1,Ant,,0,Kew,Carex pilulifera; C. vesicularis,Bouman et al. 2000,1,,,,,,,
CAROVA,Carya,ovata,Juglandaceae,shagbark hickory,CAOV2,,,0,0,1,0,1,US Forest Service,http://www.na.fs.fed.us/spfo/pubs/silvics_manual/volume_2/carya/ovata.htm,,Sprouting/ root suckers,PerClonPhl,ClonalPhl,,1,Dicot,Tree,Perennial,N,,4222,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/trees/plants/shbk_hickory.html,,1,MammalBird,,0,Kew,Carya Spp.,"Platt and Hermann, 1986",1,,,,,,,
FRAAME,Fraxinus,americana,Oleaceae,white ash,FRAM2,,,0,0,1,0,0,US Forest Service,http://www.na.fs.fed.us/pubs/silvics_manual/volume_2/fraxinus/americana.htm,,,PerNoClon,NonClonal,,1,Dicot,Tree,Perennial,N,,37.3,Wind,,0,US Forest service,,http://www.na.fs.fed.us/pubs/silvics_manual/volume_2/fraxinus/americana.htm,,1,Wind,,0,Kew,,"Matlack, 1987",1,wings,,,,,,
FRAPEN,Fraxinus,pennsylvanica,Oleaceae,green ash,FRPE,,,0,0,1,0,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/trees/plants/green_ash.htm,,,PerNoClon,NonClonal,,1,Dicot,Tree,Perennial,N,,32.3,Wind,,0,US Forest service,,http://www.fs.fed.us/database/feis/plants/tree/frapen/all.html,,1,Wind,,0,Kew,,"Farmer, 1997",1,wings,,,,,,
FRAVES,Fragaria,vesca,Rosaceae,woodland strawberry,FRVE,,,,,,,1,US Forest Service,http://www.fs.fed.us/database/feis/plants/forb/fraves/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,,Rhizomes,PerClonGuer,ClonalGuer,,1,Dicot,Forb_herb,Perennial,N,,0.3,Bee,Fly,0,,,,also butterfly,1,MammalBird,,0,Kew,,"Eriksson and Ehrlen, 1991",1,,white,,,Chadde2013,,
GALAPA,Galium,aparine,Rubiaceae,stickywilly,GAAP2,,,,,,,0,,,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,N,,8.7,Bee,Fly,1,US Forest service,,http://www.fs.fed.us/database/feis/plants/forb/galapa/all.html,,1,Adhesive,,0,Kew,,Bouman et al. 2000,1,,white,,,Chadde2013,,
GALCON,Galium,concinnum,Rubiaceae,shining bedstraw,GACO3,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/woodland/plants/sh_bedstraw.html,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,1.31,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/sh_bedstraw.html,,1,Adhesive,,0,Kew,G. aparine,Bouman et al. 2000,1,,white,,,Chadde2013,,
GAYBAC,Gaylussacia,baccata,Ericaceae,black huckleberry,GABA,,,,,,,1,US Forest Service,http://www.fs.fed.us/database/feis/plants/shrub/gaybac/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Shrub,Perennial,N,,1.63,Bee,Butterfly,1,US Forest service,,http://www.fs.fed.us/database/feis/plants/shrub/gaybac/all.html,,1,MammalBird,,0,Kew,,"Young and Young, 1992",1,,,,,Voss&Reznicek2011,yellow to rich redish,
GEUCAN,Geum,canadense,Rosaceae,white avens,GECA7,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/savanna/plants/white_avens.htm,,Rhizomes,PerClonGuer,ClonalGuer,,1,Dicot,Forb_herb,Annual,N,,9.16,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/white_avens.htm,,1,Adhesive,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/white_avens.htm,1,,white,,,Voss&Reznicek2011,"white, cream, or pale yellow",
GLYSTR,Glyceria,striata,Poaceae,fowl mannagrass,GLST,,,0,0,0,1,1,Oikos vol. 98,"Pan and Clay, 2002",,Stolon,PerClonPhl,ClonalPhl,,1,Monocot,Graminoid,Perennial,N,,0.2,Wind,,0,Plants for a future,,http://www.pfaf.org/user/Plant.aspx?LatinName=Glyceria+striata,,1,Unassisted,,0,Minnesota Wildflowesr,,https://www.minnesotawildflowers.info/grass-sedge-rush/fowl-manna-grass,1,,,,,,,
HACVIR,Hackelia,virginiana,Boraginaceae,beggers lice,HAVI2,,,,,,,0,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/virginiastickseed.html,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,PB,N,,2.4,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/stickseed.htm,,1,Adhesive,,0,Friends of Eloise Butler,,http://www.friendsofthewildflowergarden.org/pages/plants/virginiastickseed.html,1,,white,,,Chadde2013,,
HELCAN,Helianthemum,canadense,Cistaceae,longbranch frostweed,HECA3,,,,,,,1,Preslia Vol. 83,Poschlod et al. 2011,,,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,USDAHabit is also subshrub,0.58,Bee,Butterfly,0,,,,,1,Unassisted,,0,Kew,Helianthemum scoparium,"Keeley, 1991",1,,yellow,,,Chadde2013,,
HELRIG,Helianthus,rigidus,Asteraceae,stiff sunflower,HEPAP2,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/prairie/plantx/pr_sunflowerx.htm,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,7.77,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/pr_sunflowerx.htm,,1,Unassisted,,0,Illinois Wild Flowers,Helianthus giganteus,http://www.illinoiswildflowers.info/wetland/plants/gnt_sunflower.html,1,,,,,,,
HEPNOB,Hepatica,nobilis,Ranunculaceae,hepatica,HENO2,,,,,,,1,Molecular Ecology Vol. 10,Auge et al. 2001,,Rhizomes,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/hepatica.htm,,1,Ant,,0,Oecologia Vol 107,,"Mark and Olesen, 1996",1,,,,,,,
HIEUMB,Hieracium,umbellatum,Asteraceae,narrowleaf hawkweed,HIUM,,,,,,,1,University of Alaska Anchorage,https://www.uaf.edu/ces/ipm/profiles/HIUM.pdf,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,0.53,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/north_hawkwd.html,,1,Wind,,0,Kew,,"Matlack, 1987",1,,yellow,,,Chadde2013,,
HYSPAT,Hystrix,patula,Poaceae,eastern bottlebrush grass,ELHYH,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/grasses/plants/bottlebrush.htm,,,PerNoClon,NonClonal,,1,Monocot,Graminoid,Perennial,N,,4.79,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/june_grass.htm,,1,Unassisted,,0,Kew,E. glaucus,"Keeley, 1991",1,,,,,,,
JUGNIG,Juglans,nigra,Juglandaceae,black walnut,JUNI,,,1,0,1,0,0,US Forest Service,http://www.na.fs.fed.us/pubs/silvics_manual/volume_2/juglans/nigra.htm,,,PerNoClon,NonClonal,,1,Dicot,Tree,Perennial,N,,11303,Wind,,0,Plants for a future,,http://www.pfaf.org/user/Plant.aspx?LatinName=Juglans+nigra,,1,Unassisted,Mammal,0,Annual Review of Ecology and Systematics Vol. 13,,"Howe and Smallwood, 1982",1,,,,,,,
JUNHOR,Juniperus,horizontalis,Cupressaceae,creeping juniper,JUHO2,,,,,,,1,US Forest Service,http://www.fs.fed.us/database/feis/plants/shrub/junhor/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,,,PerClonPhl,ClonalPhl,,1,Gymnosperm,Subshrub,Perennial,N,,13.38,Wind,,0,Illinois wildflowers,,http://www.fs.fed.us/database/feis/plants/shrub/junhor/all.html,,1,Bird,,0,Kew,J. virginiana,"Young and Young, 1992",1,,,,,,,
KOECRI,Koeleria,cristata,Poaceae,prairie Junegrass,KOMA,,1,0,0,0,0,1,Journal of Ecology Vol. 88,"Dixon, 2000",,Rhizome,PerClonPhl,ClonalPhl,,1,Monocot,Graminoid,Perennial,N,,0.32,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/june_grass.htm,,1,Unassisted,,0,Minnesota Wildflowers,,https://www.minnesotawildflowers.info/grass-sedge-rush/junegrass,1,,,,,,,
LACBIE,Lactuca,biennis,Asteraceae,tall blue lettuce,LABI,,,,,,,0,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/tallbluelettuce.html,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,AB,N,,0.98,Bee,,0,Illinois Wildflowers,L. canadensis,http://www.illinoiswildflowers.info/prairie/plantx/wild_lettucex.htm,,1,Wind,,0,Kew,Lactuca serriola L.,"Rutledge and McLendon, 2007",1,,,,,,,
LACLUD,Lactuca,ludoviciana,Asteraceae,biannual lettuce,LALU,,,,,,,0,Field Experience,"LL, Field Experience",,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,PB,N,,1.23,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/wild_lettucex.htm,,1,Wind,,0,Kew,Lactuca serriola L.,"Rutledge and McLendon, 2007",1,,,,,,,
LACSER,Lactuca,serriola,Asteraceae, prickly lettuce,LASE,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/weeds/plants/prickly_lettuce.htm,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,AB,I,,0.58,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/weeds/plants/prickly_lettuce.htm,,1,Wind,,0,Kew,,"Rutledge and McLendon, 2007",1,,,,,,,
LAPCAN,Laportea,canadensis,Urticaceae,Canadian woodnettle,LACA3,,,,,,,1,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/woodnettle.html,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Graminoid,Annual,N,,2.12,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/wood_nettle.htm,,1,Unassisted,,0,The American Midland Naturalist Vol 104 No. 1,,"Thompson, 1980",1,,,,,,,
LATOCH,Lathyrus,ochroleucus,Fabaceae,cream pea,LAOC2,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/savanna/plants/pale_vetchling.htm,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,16.64,Bee,,0,Illinois wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/pale_vetchling.htm,,1,Unassisted,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/pale_vetchling.htm,1,,,,,,,
LEEVIR,Leersia,virginica,Poaceae,whitegrass,LEVI2,,,0,0,1,0,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/grasses/plants/white_grass.htm,,Rhizome,PerClonPhl,ClonalPhl,,1,Monocot,Graminoid,Perennial,N,,0.96,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/white_grass.htm,,1,Unassisted,,0,Illinois Wild Flowers,,http://www.illinoiswildflowers.info/grasses/plants/white_grass.htm,1,,,,,,,
LIASPI,Liatris,spicata,Asteraceae,dense blazing star,LISP,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/wetland/plants/msh_blazingstar.htm,,,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,2.9,Bee,Butterfly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/wetland/plants/msh_blazingstar.htm,,1,Wind,Bird,0,Field Knowledge,,"LL, Field Knowledge",1,,,,,,,
